C,C/K,D,S,S/K,k,r,sigma,t
59.11,0.05803,0.026,1078.59,1.0589,1018.5899999999999,0.0244,0.02585,0.2793
98.82,0.09047,0.029,1192.31,1.09155,1092.31,0.018,0.09567,0.0798
25.15,0.02765,0.023,929.66,1.02199,909.66,0.0136,0.04954,1.4549
19.61,0.01976,0.031,1012.62,1.02015,992.62,0.0198,0.05033,0.0612
0.01,1e-05,0.024,943.09,0.97923,963.09,0.0146,0.02778,0.0788
0.0,0.0,0.033,1052.39,0.91322,1152.39,0.0115,0.06349,0.1419
52.64,0.04873,0.025,1100.15,1.01852,1080.15,0.0123,0.08213,5.2325
0.06,6e-05,0.028,965.93,0.97971,985.93,0.0297,0.02302,0.1766
74.09,0.07676,0.027,1045.16,1.08289,965.1600000000001,0.0157,0.07466,1.3395
77.37,0.10688,0.027,803.9,1.11051,723.9,0.0154,0.10747,0.5248
37.15,0.04283,0.025,907.31,1.04612,867.31,0.0135,0.02169,0.2612
0.59,0.0005,0.033,1156.44,0.983,1176.44,0.0119,0.02959,0.2903
41.86,0.04141,0.028,1050.9,1.03957,1010.9000000000001,0.0162,0.09321,0.1979
0.0,0.0,0.023,912.32,0.93829,972.32,0.0282,0.03813,0.2068
8.41,0.00854,0.025,945.24,0.9594,985.24,0.0109,0.17086,0.1296
1.97,0.00197,0.021,959.27,0.95997,999.27,0.0228,0.08058,0.1822
98.59,0.13746,0.025,817.21,1.13943,717.21,0.0148,0.03543,0.1436
0.11,0.0001,0.027,1005.25,0.94368,1065.25,0.0277,0.10118,0.0644
5.29,0.00553,0.025,877.27,0.91643,957.27,0.0177,0.09098,0.8807
4.25,0.00424,0.029,941.71,0.9401,1001.71,0.021,0.16945,0.1219
63.29,0.06672,0.028,1008.61,1.06325,948.61,0.017,0.12769,0.262
0.44,0.00044,0.026,979.62,0.97999,999.62,0.0261,0.024,0.3343
0.56,0.00047,0.02,1092.43,0.91614,1192.43,0.0113,0.05573,0.768
0.25,0.00021,0.034,1154.78,0.95061,1214.78,0.0159,0.08651,0.0896
7.52,0.00732,0.026,1027.6,1.0,1027.6,0.0202,0.04538,0.1901
37.95,0.04401,0.025,902.34,1.04639,862.34,0.0157,0.05241,0.3556
0.0,0.0,0.026,1066.1,0.9302,1146.1,0.02,0.02838,0.1886
66.53,0.07992,0.029,872.44,1.04805,832.44,0.0117,0.24822,0.3128
5.48,0.00487,0.03,1125.94,1.0,1125.94,0.0188,0.03916,0.1266
39.89,0.04736,0.022,882.35,1.04749,842.35,0.0212,0.01958,0.068
1.39,0.00148,0.03,880.56,0.93621,940.56,0.0268,0.06852,0.4627
0.0,0.0,0.026,985.07,0.90784,1085.0700000000002,0.0244,0.10625,0.0697
26.57,0.02276,0.026,1067.35,0.91434,1167.35,0.0235,0.48339,0.0907
49.61,0.0459,0.034,1080.84,1.0,1080.84,0.0202,0.11862,1.4706
40.82,0.0463,0.026,921.59,1.04537,881.59,0.0258,0.13232,0.0528
129.46,0.14189,0.028,992.41,1.08768,912.41,0.025,0.18235,1.8491
1.46,0.00169,0.029,843.66,0.97684,863.66,0.0206,0.03977,0.3789
10.09,0.0109,0.021,926.06,1.0,926.06,0.0148,0.07362,0.1502
39.27,0.04591,0.025,895.3,1.04677,855.3,0.0175,0.02314,0.0986
44.03,0.04058,0.021,1125.03,1.03687,1085.03,0.0175,0.07944,0.2867
100.42,0.1135,0.023,984.76,1.11303,884.76,0.026,0.05159,0.8374
95.2,0.10851,0.031,977.35,1.11398,877.35,0.0216,0.06351,0.4344
2.07,0.00193,0.035,1073.45,1.0,1073.45,0.0113,0.02158,0.2035
65.02,0.06811,0.031,894.58,0.93715,954.58,0.018,0.18325,2.6225
22.18,0.02358,0.024,960.47,1.02127,940.47,0.0219,0.0878,0.0734
0.32,0.00029,0.031,1052.82,0.94608,1112.82,0.0109,0.05777,0.2933
87.22,0.08013,0.034,1188.42,1.09188,1088.42,0.0171,0.06915,0.7558
38.82,0.04737,0.033,859.51,1.04881,819.51,0.0129,0.09228,0.1113
0.04,4e-05,0.025,910.88,0.91926,990.88,0.0275,0.07351,0.1841
5.07,0.0048,0.024,1015.98,0.96212,1055.98,0.0156,0.08578,0.2994
25.63,0.0316,0.034,831.01,1.02466,811.01,0.0217,0.07531,0.507
45.25,0.04606,0.031,1022.41,1.04072,982.41,0.0278,0.18624,0.0668
2.9,0.00309,0.027,837.73,0.89336,937.73,0.0295,0.17308,0.2268
48.8,0.06291,0.025,815.68,1.05157,775.68,0.0262,0.14758,0.2578
20.62,0.02242,0.03,939.83,1.02174,919.83,0.0193,0.06802,0.0903
0.01,1e-05,0.025,919.08,0.95829,959.08,0.0167,0.04852,0.0909
0.0,0.0,0.031,1152.91,0.92019,1252.91,0.0267,0.00619,0.2656
0.0,0.0,0.028,1004.24,0.90944,1104.24,0.0173,0.0437,0.2536
143.56,0.16761,0.029,876.53,1.02335,856.53,0.0117,0.75137,0.2791
66.98,0.0637,0.029,1051.57,1.0,1051.57,0.0282,0.10927,2.5507
0.0,0.0,0.026,893.07,0.91779,973.07,0.0136,0.10104,0.0518
23.37,0.02073,0.028,1147.56,1.01774,1127.56,0.021,0.06574,0.1561
39.19,0.04202,0.03,972.59,1.04289,932.59,0.0262,0.02725,0.1712
10.55,0.01223,0.026,802.41,0.93043,862.41,0.0126,0.34329,0.0803
97.02,0.0961,0.033,1109.61,1.09905,1009.6099999999999,0.0144,0.02842,0.1354
