C,C/K,D,S,S/K,k,r,sigma,t
112.62,0.12689,0.023,807.51,0.90986,887.51,0.015,0.2013,0.8452
137.64,0.11934,0.031,1073.38,0.93064,1153.38,0.0186,0.20045,0.9479
93.97,0.09705,0.039,888.31,0.91738,968.31,0.0253,0.11643,0.6763
79.06,0.07443,0.022,982.14,0.92468,1062.1399999999999,0.0298,0.09359,0.4325
149.91,0.14901,0.037,866.06,0.86084,1006.06,0.0289,0.16316,0.7012
94.61,0.08576,0.037,1023.24,0.92749,1103.24,0.0239,0.06581,1.0455
20.39,0.02435,0.034,917.36,1.09554,837.36,0.0286,0.15685,0.8331
106.72,0.09045,0.027,1079.84,0.91524,1179.84,0.0163,0.0356,0.6879
69.18,0.07578,0.021,852.91,0.93428,912.91,0.0175,0.11402,0.5337
7.76,0.00848,0.031,1034.97,1.13115,914.97,0.0139,0.11499,0.8336
43.04,0.03543,0.02,1194.85,0.98354,1214.85,0.0156,0.06913,0.8128
122.51,0.09951,0.02,1111.13,0.90253,1231.13,0.0153,0.07367,0.5515
43.93,0.04096,0.035,1152.63,1.07458,1072.63,0.0158,0.18422,0.7798
32.51,0.03925,0.02,848.37,1.02414,828.37,0.0179,0.12464,0.9978
21.14,0.02672,0.033,831.24,1.05055,791.24,0.0249,0.14977,0.5773
142.99,0.12465,0.033,1007.12,0.87796,1147.12,0.0296,0.10031,0.9036
17.48,0.01706,0.038,1064.65,1.03904,1024.65,0.0207,0.12003,0.3949
0.0,0.0,0.028,1037.6,1.08354,957.5999999999999,0.026,0.05732,0.1628
38.09,0.03908,0.023,954.67,0.97948,974.67,0.0268,0.16865,0.1798
0.06,7e-05,0.03,998.03,1.11135,898.03,0.015,0.07014,0.3141
161.94,0.12108,0.037,1197.51,0.89533,1337.51,0.0211,0.13319,0.7386
94.41,0.10239,0.02,902.05,0.97831,922.05,0.0122,0.224,1.0078
35.11,0.0322,0.035,1070.45,0.98166,1090.45,0.0206,0.05235,0.5901
32.95,0.03258,0.036,1071.28,1.05933,1011.28,0.0137,0.15437,0.6772
116.28,0.09492,0.026,1165.05,0.95102,1225.05,0.019,0.17275,0.9528
25.43,0.02884,0.024,961.82,1.09072,881.82,0.0287,0.16253,0.9732
0.27,0.00027,0.038,1067.52,1.08101,987.52,0.0239,0.09616,0.1465
43.31,0.03786,0.028,1143.96,1.0,1143.96,0.0171,0.09931,0.7485
9.06,0.01165,0.027,818.0,1.05141,778.0,0.0298,0.12632,0.3657
150.66,0.12952,0.023,1043.26,0.89684,1163.26,0.0132,0.2296,0.519
55.43,0.05481,0.029,1031.27,1.01978,1011.27,0.012,0.22726,0.4473
6.14,0.00519,0.024,1183.33,1.0,1183.33,0.0232,0.03952,0.107
0.43,0.00055,0.029,921.38,1.17917,781.38,0.0295,0.20435,0.1481
0.13,0.00012,0.024,1189.75,1.11218,1069.75,0.0102,0.06938,0.3714
65.6,0.06302,0.02,1000.98,0.96157,1040.98,0.0219,0.23285,0.208
1.53,0.00145,0.026,1113.37,1.05696,1053.37,0.0111,0.10235,0.1396
54.3,0.0667,0.036,854.15,1.04913,814.15,0.0194,0.22347,0.8581
10.5,0.01272,0.038,945.61,1.14535,825.61,0.0221,0.1298,0.9877
103.3,0.10752,0.021,860.75,0.89591,960.75,0.0248,0.12901,0.6251
95.95,0.08772,0.038,1033.8,0.94515,1093.8,0.0191,0.12714,0.8732
0.21,0.00025,0.023,986.98,1.16529,846.98,0.019,0.07509,0.7523
12.85,0.01218,0.027,1074.6,1.01896,1054.6,0.0208,0.0917,0.2841
1.81,0.00197,0.032,978.42,1.06533,918.42,0.0268,0.04343,1.0357
17.66,0.01686,0.033,1127.73,1.07636,1047.73,0.025,0.22117,0.238
29.74,0.03236,0.022,999.05,1.08705,919.05,0.0111,0.15432,0.9881
18.51,0.02101,0.033,940.91,1.06811,880.91,0.0245,0.1644,0.4699
80.22,0.0758,0.021,998.35,0.94331,1058.35,0.0216,0.16238,0.4566
157.2,0.14485,0.031,965.25,0.88943,1085.25,0.0124,0.18206,0.9246
138.22,0.1234,0.03,980.11,0.87501,1120.1100000000001,0.0294,0.07404,0.5463
67.53,0.06302,0.027,1051.52,0.98133,1071.52,0.0182,0.19112,0.4661
19.58,0.02342,0.035,836.09,1.0,836.09,0.0279,0.06066,0.7652
0.4,0.00059,0.024,802.94,1.17571,682.94,0.0178,0.09365,0.6674
89.34,0.07649,0.036,1087.92,0.9315,1167.92,0.0134,0.06045,0.39
0.34,0.00044,0.028,869.99,1.12987,769.99,0.0147,0.06364,0.7453
41.39,0.03356,0.029,1193.41,0.96757,1233.41,0.0186,0.08501,0.0636
51.07,0.05316,0.027,920.77,0.95837,960.77,0.0299,0.16954,0.1819
70.33,0.0658,0.026,1048.86,0.98129,1068.86,0.0181,0.14708,0.846
107.06,0.11189,0.024,856.84,0.89549,956.84,0.029,0.14111,0.8203
150.76,0.13139,0.038,1067.43,0.93028,1147.43,0.0172,0.23165,0.885
59.95,0.04984,0.026,1142.75,0.95011,1202.75,0.0269,0.04435,0.7315
1.46,0.00204,0.022,814.62,1.13993,714.62,0.0101,0.17852,0.2048
15.73,0.01426,0.021,1163.12,1.05439,1103.12,0.0191,0.15721,0.2928
10.47,0.01017,0.03,1169.07,1.13605,1029.07,0.0286,0.21408,0.331
1.16,0.00144,0.021,864.8,1.07455,804.8,0.0229,0.14889,0.1037
